"ATX","AGENCIA TEMIXCO","T",1,"M",,""
"PON","AGENCIA PONTONES","T",1,"M",,""
"ACH","AGENCIA CHIPITLAN","T",1,"M",,""
"ACU","AGENCIA VENTAS CUERN","T",1,"M",,""
"AVA","AGENCIA CIVAC","T",1,"M",,""
"ATL","ATLACHOLOAYAN","T",1,"M",,""
"SRO","SANTA ROSA","T",1,"M",,""
"ATC","AGE. CORP. CUAUNAHUA","T",1,"M",,""
"AVC","AGENCIA VIAJES CUERN","T",1,"M",,""
"CPF","CRUCERO P. IXTLA FED","T",1,"M",,""
"MCV","MEXICO COBRADOR VOLA","T",1,"M",,""
"OAO","OACALCO OPERADOR ABO","T",1,"M",,""
"XAF","XOXOCOTLA 2 FEDERAL","T",1,"M",,""
"JPP","PARADERO TURISTICO","T",1,"M",,""
"PLZ","PALOMA DE LA PAZ","T",1,"M",,""
"ACC","AGENCIA CAMPUS","T",1,"M",,""
"AIT","AGENCIA INTER. TRAVE","T",1,"M",,""
"AVM","AGENCIA VIAJES MALVA","T",1,"M",,""
"CHO","CHICONCUAC","T",1,"M",,""
"MAR","AGENCIA MUNDO MAR","T",1,"M",,""
"TZO","TEZOYUCA","T",1,"M",,""
"ZAP","EMILIANO ZAPATA","T",1,"M",,""
"DVG","DISEOS VEGA","T",1,"M",,""
"FAB","AGENCIA FABERT","T",2,"M",,""
"CDO","CLUB DORADO OAXTEPEC","T",1,"M",,""
"CGA","CRUCERO GALEANA","T",1,"M",,""
"CHP","CHIPITLAN","P",1,"A",,""
"TZF","TEC. ZACATEPEC","T",1,"M",,""
"TMA","TRES MARIAS","T",1,"M",,""
"TOP","TOPILEJO","T",1,"M",,""
"COZ","CORONA ZACATEPEC","T",2,"M",,""
"RTP","ROLLO PROMOCIONAL","T",1,"M",,""
"TJF","TEJALPA FEDERAL","T",1,"M",,""
"AEM","AEROPUERTO MARIANO M","T",2,"M",,""
"AGV","AGENCIA ARESKY GRAN","T",2,"M",,""
"AMM","AGENCIA MUNDO MAYA","T",2,"M",,""
"NZA","NEZAHUALCOYOTL","T",2,"M",,""
"ALS","AGENCIA LUNA Y SOL","T",2,"M",,""
"AGE","AGENCIA XENIA","T",2,"M",,""
"CUN","CUERNAVACA NORMAL","T",2,"M",,""
"TUR","VIAJES TURIFLEX","T",2,"M",,""
"TBE","TICKET BUS","T",2,"M",,""
"VMA","VIAJES MARIN","T",0,"M",,""
"ATD","AGENCIA TURISTICA DO","T",0,"M",,""
"MEN","MEXICO NORTE","T",0,"M",,""
"TIZ","TIZOC","T",0,"M",,""
"VAF","CIVAC FEDERAL","T",0,"M",,""
"AGO","AGENCIA GOFASA VIAJE","T",0,"M",,""
"AMU","AGENCIA MUNDOMEX","T",0,"M",,""
"ATU","AGENCIA COMERCIAL TU","T",0,"M",,""
"AVE","AGENCIA DE VIAJES EX","T",0,"M",,""
"CCA","CASETA CENTRAL ALPUYECA","T",0,"M",,""
"TAL","OFICINAS DEL TALLER","T",0,"M",,""
"CLA","CASETA LATERAL ALPUYECA","T",0,"M",,""
"CNF","CUENTEPEC FEDERAL","T",0,"M",,""
"MEE","MEXICO EXCESO EQUIPAJE","T",0,"M",,""
"SIX","SIX FLAGS","T",0,"M",,""
"VCL","VCL","T",1,"A",,""
"COT","COATETELCO","T",0,"M",,""
