Facturado por Cliente 68,MEX,024097,165.00,22.76,1908911,30166972-84e7-4ceb-aafe-d8f97f2db65b,2022-06-13 11:49:37,I
68,MEX,024299, 180.00, 24.83, 2
68,TEC,024237, 30.00, 0.00, 5
69,MEX,024320, 180.00, 24.83, 2
69,TEC,024237, 30.00, 0.00, 5
70,MEX,024297, 90.00, 12.41, 2
70,TEC,024237, 32.00, 0.00, 5
Facturado por Cliente 71,MEX,024097,165.00,22.76,1908872,3109ebcd-8c23-4e2f-9f5b-59722989498e,2022-06-13 11:22:27,I
71,MEX,024297, 90.00, 12.41, 2
71,MEX,024320, 165.00, 22.76, 2
71,TEC,024237, 30.00, 0.00, 5
72,MEX,024097, 82.50, 11.38, 2
72,TEC,024237, 30.00, 0.00, 5
73,MEX,024297, 180.00, 24.83, 2
73,TEC,024237, 77.50, 10.69, 5
74,MEX,024097, 82.50, 11.38, 2
74,MEX,024299, 165.00, 22.76, 2
74,TEC,024237, 155.00, 21.38, 5
75,MEX,024097, 82.50, 11.38, 2
75,TEC,024237, 77.50, 10.69, 5
Facturado por Cliente 76,AER,024310,335.00,46.21,1911654,e5702277-d369-46cb-8d0f-aadfb97dc881,2022-06-16 02:23:59,I
76,MEX,024097, 165.00, 22.76, 2
76,MEX,024297, 90.00, 12.41, 2
76,MEX,024299, 165.00, 22.76, 2
76,TEC,024237, 77.50, 10.69, 5
77,MEX,024097, 165.00, 22.76, 2
77,MEX,024299, 165.00, 22.76, 2
77,TEC,024237, 32.00, 0.00, 5
78,MEX,024299, 90.00, 12.41, 2
78,TEC,024237, 32.00, 0.00, 5
79,MEX,024097, 82.50, 11.38, 2
79,MEX,024299, 90.00, 12.41, 2
79,MEX,024320, 165.00, 22.76, 2
79,TEC,024237, 32.00, 0.00, 5
80,MEX,024097, 165.00, 22.76, 2
Facturado por Cliente 80,MEX,024299,155.00,21.38,1922101,53cbf808-f8ee-41e2-b5df-5f7d0f71b4c6,2022-06-30 09:55:19,I
80,TEC,024237, 32.00, 0.00, 5
81,MEX,024097, 165.00, 22.76, 2
81,TEC,024237, 155.00, 21.38, 5
82,MEX,024320, 165.00, 22.76, 2
82,TEC,024237, 155.00, 21.38, 5
83,MEX,024097, 82.50, 11.38, 2
Facturado por Cliente 83,MEX,024297,180.00,24.83,1904851,9ba94c1e-0630-4f28-8a4e-76a829dc651c,2022-06-07 08:49:57,I
83,MEX,024320, 165.00, 22.76, 2
83,TEC,024237, 77.50, 10.69, 5
84,MEX,024320, 165.00, 22.76, 2
84,TEC,024237, 77.50, 10.69, 5
85,TEC,024237, 77.50, 10.69, 5
86,TEC,024237, 155.00, 21.38, 5
87,MEX,024297, 180.00, 24.83, 2
87,TEC,024237, 155.00, 21.38, 5
88,MEX,024097, 165.00, 22.76, 2
88,MEX,024297, 180.00, 24.83, 2
88,MEX,024299, 165.00, 22.76, 2
