"CVE_COMPROBANTE","NOIDENTIFICACION"
"2128013","3136-CCS-024270"
"2128013","3137-CCS-024270"
"2128013","3140-CCS-024270"
"2128013","3141-CCS-024270"
"2128013","3142-CCS-024270"
"2128013","3143-CCS-024270"
"2128013","3149-CCS-024270"
"2128013","3166-CCS-024270"
"2128013","3167-CCS-024270"
"2128013","3168-CCS-024270"
"2128013","3169-CCS-024270"
"2128013","3170-CCS-024270"
"2128013","3171-CCS-024270"
"2128013","3172-CCS-024270"
"2128013","3180-CCS-024270"
"2128013","3186-CCS-024270"
"2128013","3189-CCS-024270"
"2128013","3214-CCS-024270"
"2128013","3215-CCS-024270"
"2128013","3216-CCS-024270"
"2128013","3217-CCS-024270"
"2128013","3218-CCS-024270"
"2128013","3219-CCS-024270"
"2128013","3220-CCS-024270"
"2128013","3221-CCS-024270"
"2128013","3222-CCS-024270"
"2128013","3223-CCS-024270"
"2128013","3224-CCS-024270"
"2128013","3225-CCS-024270"
"2128013","3231-CCS-024270"
"2128013","3233-CCS-024270"
"2128013","3243-CCS-024270"
"2128013","3244-CCS-024270"
"2128013","3247-CCS-024270"
"2128013","3248-CCS-024270"
"2128013","3249-CCS-024270"
"2128013","3251-CCS-024270"
"2128013","3261-CCS-024270"
"2128013","3263-CCS-024270"
"2128013","3264-CCS-024270"
"2128013","3265-CCS-024270"
"2128013","3267-CCS-024270"
"2128013","3272-CCS-024270"
"2128013","3274-CCS-024270"
"2128013","3275-CCS-024270"
"2128013","3278-CCS-024270"
"2128013","3279-CCS-024270"
"2128013","3288-CCS-024270"
"2128013","3289-CCS-024270"
"2128013","3291-CCS-024270"
"2128013","3293-CCS-024270"
"2128013","3294-CCS-024270"
"2128013","3295-CCS-024270"
"2128013","3296-CCS-024270"
"2128013","3303-CCS-024270"
"2128013","3304-CCS-024270"
"2128013","3306-CCS-024270"
"2128013","3316-CCS-024270"
"2128013","3317-CCS-024270"
"2128013","3318-CCS-024270"
"2128013","3320-CCS-024270"
"2128013","3321-CCS-024270"
"2128013","3322-CCS-024270"
"2128013","3323-CCS-024270"
"2128013","3324-CCS-024270"
"2128013","3325-CCS-024270"
"2128013","3326-CCS-024270"
"2128013","3327-CCS-024270"
"2128013","3328-CCS-024270"
"2128013","3329-CCS-024270"
"2128013","3335-CCS-024270"
"2128013","3336-CCS-024270"
"2128013","3337-CCS-024270"
"2128013","3342-CCS-024270"
"2128013","3343-CCS-024270"
"2128013","3347-CCS-024270"
"2128013","3348-CCS-024270"
"2128013","3349-CCS-024270"
"2128013","3350-CCS-024270"
"2128013","3351-CCS-024270"
"2128013","3367-CCS-024270"
"2128013","3371-CCS-024270"
