Terminal : AER
HXP  , 023710 ,  152164.50 , 985 
HXP  , 024166 ,  25087.00 , 165 
HXP  , 024171 ,  48673.00 , 304 
HXP  , 024176 ,  111309.50 , 709 
HXP  , 024177 ,  511710.50 , 3311 
HXP  , 024180 ,  15516.00 , 103 
HXP  , 024191 ,  298822.00 , 1979 
HXP  , 024221 ,  184904.00 , 1219 
Terminal : IMS
IMS  , 022893 ,  331839.50 , 3819 
IMS  , 023303 ,  75917.50 , 1015 
IMS  , 023857 ,  135565.50 , 1559 
IMS  , 023940 ,  246105.00 , 2845 
IMS  , 024013 ,  312503.50 , 3692 
IMS  , 024271 ,  17144.00 , 202 
IMS  , IMS01 ,  451242.00 , 6373 
IMS  , IMS02 ,  67977.50 , 900 
IMS  , IMS03 ,  20467.50 , 291 
Terminal : IXS
IXS  , 022476 ,  113504.00 , 1194 
IXS  , 023915 ,  16467.00 , 171 
IXS  , 023918 ,  84285.50 , 888 
Terminal : JIU
JIU  , 022829 ,  161748.00 , 1057 
JIU  , 023641 ,  143586.00 , 945 
JIU  , 023957 ,  45414.00 , 309 
JIU  , 024046 ,  8244.00 , 54 
Terminal : JOJ
Terminal : MEX
MEX  , 016577 ,  109930.00 , 757 
MEX  , 019082 ,  2735.00 , 20 
MEX  , 019827 ,  41535.50 , 280 
MEX  , 020652 ,  548146.00 , 3822 
MEX  , 022968 ,  994226.50 , 6918 
MEX  , 023089 ,  313125.50 , 2078 
MEX  , 023460 ,  832353.00 , 5848 
MEX  , 023565 ,  964234.50 , 6586 
MEX  , 023597 ,  844491.50 , 5884 
MEX  , 023599 ,  830393.00 , 5760 
MEX  , 023720 ,  896681.50 , 6320 
MEX  , 023785 ,  182594.50 , 1239 
MEX  , 023800 ,  1285157.50 , 9206 
MEX  , 023863 ,  1306746.00 , 9417 
MEX  , 024032 ,  725862.00 , 5184 
MEX  , 024033 ,  800669.00 , 5577 
MEX  , 024080 ,  927942.50 , 6685 
MEX  , 024139 ,  691564.00 , 4854 
MEX  , 024145 ,  1005679.00 , 7142 
MEX  , 024146 ,  903530.00 , 6304 
MEX  , 024161 ,  728528.50 , 5269 
MEX  , 024189 ,  1145521.50 , 8332 
MEX  , 024209 ,  1177195.00 , 8406 
MEX  , 024213 ,  185463.50 , 1333 
MEX  , 024262 ,  540500.50 , 3870 
MEX  , 024263 ,  1353239.00 , 9656 
MEX  , 024264 ,  1053656.50 , 7577 
MEX  , 024296 ,  54692.00 , 383 
Terminal : MIA
MIA  , 020770 ,  76259.00 , 693 
MIA  , 023777 ,  115582.50 , 951 
MIA  , 024098 ,  2736.00 , 20 
Terminal : MZT
MZT  , 020770 ,  20895.10 , 183 
MZT  , 024165 ,  74411.70 , 759 
MZT  , 024288 ,  6963.20 , 71 
Terminal : OXT
OXT  , 021021 ,  40260.00 , 287 
OXT  , 022247 ,  41137.50 , 283 
OXT  , 023710 ,  93136.50 , 635 
OXT  , 024171 ,  34272.00 , 241 
OXT  , 024180 ,  262165.50 , 1838 
OXT  , 024181 ,  201051.00 , 1394 
OXT  , 024197 ,  7732.50 , 55 
OXT  , 024221 ,  13441.50 , 93 
OXT  , 024237 ,  5472.00 , 37 
Terminal : PSF
Terminal : PTE
PTE  , 023373 ,  24685.50 , 289 
PTE  , 023507 ,  675695.00 , 8672 
PTE  , 023616 ,  215946.10 , 2491 
PTE  , 023663 ,  410072.70 , 5583 
PTE  , 023926 ,  89460.00 , 980 
PTE  , 024004 ,  15369.50 , 210 
Terminal : RTB
RTB  , 1301894 ,  13950.00 , 62 
RTB  , 1352329 ,  19350.00 , 86 
Terminal : TEC
TEC  , 021021 ,  8235.00 , 79 
TEC  , 022247 ,  82839.00 , 719 
TEC  , 023710 ,  238199.50 , 1956 
TEC  , 024171 ,  12615.00 , 96 
TEC  , 024176 ,  40137.50 , 324 
TEC  , 024181 ,  130240.00 , 1158 
TEC  , 024197 ,  63063.50 , 582 
Terminal : TET
TET  , 023226 ,  16996.00 , 179 
TET  , 024226 ,  32035.00 , 323 
TET  , 024291 ,  4282.00 , 53 
Terminal : TJL
TJL  , TJL002 ,  994554.00 , 6454 
TJL  , TJLOLI ,  97038.00 , 598 
Terminal : TMF
TMF  , 021982 ,  67292.00 , 2228 
TMF  , 024164 ,  55667.00 , 1838 
TMF  , 024170 ,  74455.00 , 2475 
TMF  , 024172 ,  78674.00 , 2599 
Terminal : VAC
VAC  , 023994 ,  17730.00 , 132 
VAC  , 023995 ,  15120.00 , 113 
Terminal : VGL
VGL  , 022893 ,  22227.00 , 629 
VGL  , 023858 ,  188279.00 , 5321 
VGL  , 023949 ,  135324.00 , 3799 
Terminal : WTC
WTC  , 020652 ,  9900.00 , 44 
WTC  , 023832 ,  24750.00 , 110 
WTC  , 023980 ,  49050.00 , 218 
WTC  , 024161 ,  1575.00 , 7 
WTC  , 024213 ,  38925.00 , 173 
Terminal : XCO
XCO  , 020773 ,  1119402.00 , 7330 
XCO  , 022510 ,  50058.00 , 325 
Terminal : XOA
XOA  , 015587 ,  138625.50 , 2111 
XOA  , 020073 ,  163182.50 , 2509 
XOA  , 022467 ,  4301.00 , 50 
XOA  , 022659 ,  158650.00 , 2451 
XOA  , 023394 ,  12802.00 , 189 
XOA  , 023591 ,  22976.00 , 389 
XOA  , 023653 ,  64034.50 , 1057 
Terminal : XOH
XOH  , 023575 ,  169704.00 , 1572 
XOH  , 023974 ,  44173.00 , 473 
XOH  , 024054 ,  166970.00 , 1532 
Terminal : YAU
YAU  , 021021 ,  35296.00 , 250 
YAU  , 024174 ,  386059.00 , 2643 
YAU  , 024178 ,  170246.00 , 1169 
Terminal : ZAC
ZAC  , 021347 ,  4288.00 , 40 
ZAC  , 022816 ,  17193.00 , 169 
ZAC  , 022902 ,  141489.00 , 1383 
ZAC  , 023394 ,  14147.00 , 108 
ZAC  , 023591 ,  8584.00 , 89 
ZAC  , 023653 ,  18362.00 , 229 
ZAC  , 023829 ,  169267.00 , 1534 
