2,7550 4X2,50,1,1,1,NULL,1211030050,X3-319,x3-319,50,3.00,300,NULL,2002,349HF1    ,YV3R6H3162A003153,152331,ALB,4,JOJ,NULL,NULL
1,MBR,303,6,6,1,NULL,1211010303,X3-532,x3-532,303,3.00,300,NULL,1994,457 HA2   ,9BM664105RC079535,475984-10-678433,ALB,4,ZAC,NULL,NULL
1,MBR,319,6,6,1,NULL,1211010319,X3-479,X3-851,319,3.00,300,NULL,1994,199 RA7   ,9BM664105RC079595,475984-10-677733,ALB,4,ZAC,NULL,NULL
1,MBR,322,6,6,1,NULL,1211010322,X3-377,X3-818,322,3.00,300,NULL,1994,451 HA2   ,9BM664105RC079570,475984-10-678761,ALB,4,JOJ,NULL,NULL
2,7550 4X2,411,1,1,1,NULL,1211010411,X3-301,X3-784,411,3.00,300,NULL,1994,458 HA2   ,9BM664105RC079608,475984-10-678927,ALB,4,JOJ,NULL,NULL
2,7550 4X2,111,2,2,3,NULL,1211020111,X3-019,x3-019,111,3.00,300,NULL,2001,559 HC8   ,3CER2E71515009035,194211,ALB,4,MEX,NULL,NULL
2,7550 4X2,112,2,2,3,NULL,1211020112,X3-365,x3-019,112,3.00,300,NULL,2001,121 HF7   ,3CER2E71915008888,189251,ALB,4,CCS,NULL,NULL
2,7550 4X2,121,5,5,3,NULL,1211020121,X2-035,X3-644,121,3.00,300,NULL,2001,545 HC8   ,3CER2E71115009050,195115,ALB,6,TAL,NULL,NULL
2,7550 4X2,171,2,2,3,NULL,1211020171,X2-048,X2-048,171,3.00,300,NULL,2001,208 RB5   ,3CER2E71915009121,197436,ALB,4,MEX,NULL,NULL
2,7550 6X2,920,3,3,3,NULL,1211020920,X2-305,X2-305,920,3.00,300,NULL,2002,428 HF1   ,3CER2E81325010247,220430,ALB,1,CCS,NULL,NULL
2,7550 4X2,308,1,1,1,NULL,1214030308,X3-215,x3-215,308,3.00,300,NULL,2001,136HF7    ,3CER2E71815008879,189022,ALH,4,JOJ,NULL,NULL
2,7550 4X2,129,5,5,3,NULL,1219020129,X2-433,x2-433,129,3.00,300,NULL,2001,442 HC8   ,3CER2E71115009453,211228,RAG,1,MEX,NULL,NULL
2,7550 4X2,149,5,5,3,NULL,1219020149,X3-383,x3-625,149,3.00,300,NULL,2001,738 HC8   ,3CER2E71915008986,192615,RAG,4,JIU,NULL,NULL
2,7550 4X2,179,2,2,3,NULL,1219020179,X3-627,x3-049,179,3.00,300,NULL,2001,134 HF7   ,3CER2E71415008877,189020,RAG,4,MEX,NULL,NULL
